Title,Emotional & Psychological Insights,Social Support,Nutrition for Recovery,Becoming Eating Disorder Informed,Link,Description
"How Do I Start Recovery?",2,1,1,4,https://www.bodybrave.ca/support-sessions/how-do-i-start-recovery%3F,"Starting can be the hardest part: where do I begin? how do I know if I'm doing this right? what do I do if I relapse? In this recovery session we still talk through what it means to start recovery, and how you can best approach starting recovery for yourself."
"Defining Recovery",5,1,1,3,https://www.bodybrave.ca/support-sessions/defining-recovery,"For some recovery is a destination they are working towards, for others it's an on-going process. In this session we will explore some of the complexities of what recovery can look and feel like, and give you tools to reflect and define recovery for yourself."
"Recognizing the Eating Disorder Voice",5,1,1,4,https://www.bodybrave.ca/support-sessions/recognizing-the-eating-disorder-voice,"In eating disorder (ED) treatment and recovery you might hear people talk about the ED’s “voice.” The ""ED Voice"" refers to the set of thoughts, beliefs or narratives you have that support the eating disorder. In this Recovery Session we will explore what it means to recognize, understand, and overcome your ""ED Voice""."
"Am I Sick Enough?",3,2,1,5,https://www.bodybrave.ca/support-sessions/am-i-sick-enough%3F,"In this session we will explore the question so many of us ask ourselves about what we are experiencing when it comes to disordered eating: if it’s serious enough, if it’s worth telling someone. Our clinician and two lived experience panelists will talk what an unhealthy relationship with food or your body looks like and how we can recognize the difference within ourselves."
"How To Tell Someone You Have an Eating Disorder",3,5,1,2,https://www.bodybrave.ca/support-sessions/how-to-tell-someone-you-have-an-eating-disorder,"Telling someone you know that you are struggling with disordered eating can be one of the most daunting and overwhelming parts of recovery. In this Recovery Session we will explore how we can best approach and prepare ourselves for telling others about our experiences."
"The Long and Winding Road of Recovery",5,1,1,3,https://www.bodybrave.ca/support-sessions/the-long-and-winding-road-of-recovery,"Some folks talk about recovery as a destination, others talk about recovery as a journey they're always on. In this Recovery Session we will explore ideas of how you might define recovery, what it can mean to be ""recovered"", and everything in between!"
"Self Compassion & Recovery",5,1,1,2,https://www.bodybrave.ca/support-sessions/self-compassion-%26-recovery,"So many of us can offer understanding, empathy, and compassion to others, but struggle with extending those same things to ourselves. Practicing self-compassion can be really hard, but in this Recovery Session we will explore what self-compassion means and how we can start to incorporate it into our lives."
"Family-Based Therapy & Eating Disorders",2,5,1,4,https://www.bodybrave.ca/support-sessions/family-based-therapy-%26-eating-disorders,"What is Family-Based Therapy? Who is it for? Does it work? In this recovery session, we talk through the benefits and complexities of family-based therapy, explore the challenges that arise with this type of treatment, and discuss strategies that parents AND youth can use when utilizing this approach."
"Neuroscience of Eating Disorders",2,1,1,5,https://www.bodybrave.ca/support-sessions/neuroscience-of-eating-disorders,"In this recovery session we will explore some of the neuroscience behind eating disorders, to help us understand a bit more about our thoughts and behaviours. If you've ever wondered about the brain science behind eating disorders, this is the session for you!"
"The Biological Basis of Eating Disorders",2,1,2,5,https://www.bodybrave.ca/support-sessions/the-biological-basis-of-eating-disorders,"Join Karen Trollope-Kumar, Body Brave’s Medical Director, for a workshop exploring the biological basis of eating disorders. We’ll examine genetic factors that affect susceptibility to eating disorders, as well as some fascinating new brain research on eating disorders. Other topics include the gut-brain connection and trends in biologically-based treatment approaches."
